package_id,weight_kg,volume_cm3,fragility,transport_type,handling_events,distance_km,route_complexity,packaging_quality,weather_condition,temperature_c,humidity_percent,vibration_level,drop_incidents,driver_experience_yrs,time_of_day,delivery_delay_min,fragile_label_handling,road_condition,region,damaged
PCKG00169,2.52,9006,Low,Van,14,1308,4,Medium,Clear,-3.4,40.6,5.29,3,3,Evening,92,Yes,Potholes,Central India,0
PCKG00170,29.75,4298,Medium,Bike,4,468,4,High,Snow,12.2,77.8,9.66,2,13,Morning,82,Yes,Construction,Central India,1
PCKG00171,34.04,16413,Low,Bike,3,394,10,Low,Fog,13.5,50.9,2.03,0,14,Morning,26,Yes,Smooth,North India,1
PCKG00172,1.32,16150,Medium,Bike,4,752,1,High,Rain,24.1,63.5,0.17,1,8,Afternoon,58,Yes,Gravel,South India,0
PCKG00173,25.85,9985,High,Truck,1,140,2,Medium,Clear,-1.1,45.5,4.93,0,6,Night,81,Yes,Construction,North-East India,0
PCKG00174,11.71,6320,High,Truck,2,413,2,Medium,Clear,32,84.1,0.58,0,4,Afternoon,3,Yes,Smooth,North India,0
PCKG00175,32.44,12943,High,Bike,4,228,2,Low,Rain,20.8,27.4,0.59,4,9,Evening,86,Yes,Construction,South India,1
PCKG00176,9.13,6119,Low,Van,10,605,10,High,Rain,19.6,35.2,0.33,4,8,Afternoon,7,Yes,Potholes,Central India,0
PCKG00177,34.7,5102,Medium,Bike,4,974,1,High,Clear,9.2,34.2,6.18,0,10,Night,103,Yes,Smooth,North-East India,1
PCKG00178,19.64,14745,Low,Air,5,623,10,Medium,Clear,11.4,38.2,6.26,2,11,Night,23,Yes,Smooth,North-East India,0
PCKG00179,46.87,1286,Medium,Air,9,1216,8,Medium,Fog,-2.5,51.8,2.56,2,6,Night,4,Yes,Potholes,South India,1
PCKG00180,7.31,2348,Low,Bike,1,882,1,High,Snow,28.9,28.2,4.5,0,5,Morning,47,Yes,Smooth,North India,0
PCKG00181,17.38,632,High,Truck,8,1415,8,High,Clear,22.2,22.7,4.19,2,3,Morning,74,No,Smooth,East India,1
PCKG00182,6.12,3482,High,Bike,3,13,1,Medium,Clear,38.9,59.6,4.93,1,4,Afternoon,106,Yes,Potholes,South India,0
PCKG00183,46.27,1845,Low,Truck,9,1208,10,Medium,Storm,10.9,55.1,2,2,14,Afternoon,13,Yes,Gravel,West India,0
PCKG00184,43.93,19918,Low,Truck,11,1472,3,Low,Rain,25,43.8,8.13,2,5,Afternoon,10,Yes,Smooth,Central India,0
PCKG00185,13.27,6132,Low,Truck,8,598,9,Low,Clear,36.4,31.9,2.88,0,0,Night,76,No,Gravel,North India,0
PCKG00186,33.17,3411,Medium,Van,8,610,8,Low,Clear,27,28.2,3.27,2,1,Night,21,Yes,Construction,North India,0
PCKG00187,40.95,5199,Low,Truck,9,1474,2,Medium,Clear,-3.2,82.2,6.51,2,14,Night,103,Yes,Smooth,East India,0
PCKG00188,27.98,18754,High,Bike,4,120,4,Medium,Clear,23.5,50.4,9.82,4,13,Morning,13,Yes,Smooth,South India,0
PCKG00189,26.72,10643,Medium,Air,12,249,8,Medium,Clear,19.5,86.7,2.04,4,11,Night,19,No,Potholes,Central India,1
PCKG00190,12.47,7614,Medium,Bike,5,1311,9,High,Snow,17.5,42.8,3.58,2,1,Morning,0,Yes,Construction,Central India,0
PCKG00191,5.11,17531,Medium,Bike,12,1241,7,High,Clear,19.9,62.9,3.74,2,6,Night,20,Yes,Construction,South India,0
PCKG00192,44.91,8202,Low,Air,7,455,1,Medium,Rain,15.7,59.7,5.29,0,2,Evening,50,No,Potholes,Central India,1
PCKG00193,45.07,7033,High,Truck,2,1053,8,Low,Clear,26.1,31.4,8.35,1,11,Afternoon,88,No,Smooth,West India,0
PCKG00194,31.84,4542,Medium,Truck,7,237,1,Low,Clear,-4.3,54.6,7.26,4,13,Evening,91,Yes,Construction,South India,1
PCKG00195,17.28,7867,High,Van,12,1316,9,High,Clear,3.5,53.9,2.05,3,3,Evening,100,Yes,Smooth,West India,1
PCKG00196,17.79,6675,Medium,Truck,3,689,8,Medium,Clear,11.4,55.4,7.13,2,8,Morning,95,No,Smooth,North-East India,1
